,"Кол-во запросов, шт.",янв.-21,февр.-21,мар.-21,апр.-21,мая-21,июн.-21,июл.-21,авг.-21,сент.-21,окт.-21,нояб.-21,дек.-21,янв.-22,февр.-22,мар.-22,апр.-22,мая-22,июн.-22,июл.-22,авг.-22,сент.-22,окт.-22,нояб.-22,дек.-22,янв.-23,февр.-23,мар.-23,апр.-23,мая-23,июн.-23,июл.-23,авг.-23,сент.-23,окт.-23,нояб.-23,дек.-23,янв.-24,февр.-24,мар.-24,апр.-24,мая-24,июн.-24,июл.-24,авг.-24,сент.-24,окт.-24,нояб.-24,дек.-24,янв.-25,февр.-25,мар.-25,апр.-25,мая-25,июн.-25,июл.-25,авг.-25,сент.-25,окт.-25,нояб.-25,дек.-25,янв.-26,февр.-26,мар.-26,апр.-26,,2021,2022,2023,2024,2025
,"Доля, %","0,144%","0,167%","0,166%","0,162%","0,179%","0,127%","0,131%","0,133%","0,109%","0,076%","0,075%","0,079%","0,075%","0,068%","0,073%","0,079%","0,057%","0,052%","0,061%","0,055%","0,058%","0,040%","0,056%","0,052%","0,044%","0,047%","0,087%","0,068%","0,077%","0,085%","0,082%","0,093%","0,073%","0,064%","0,063%","0,055%","0,066%","0,059%","0,086%","0,070%","0,078%","0,069%","0,092%","0,091%","0,085%","0,077%","0,104%","0,112%","0,107%","0,087%","0,075%","0,084%","0,119%","0,087%","0,084%","0,110%","0,066%","0,078%","0,078%","0,089%","0,097%","0,094%","0,089%","0,082%",,"0,130%","0,061%","0,069%","0,084%","0,087%"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Валютные переводы,7 486,7 705,9 730,9 572,8 677,9 543,8 216,8 105,9 001,9 023,9 643,10 423,8 805,16 659,47 339,32 106,25 796,37 427,26 594,22 975,17 659,17 585,15 165,13 559,10 210,11 781,19 548,13 269,11 145,13 122,9 762,10 899,9 098,10 208,9 483,11 132,8 025,8 127,10 531,10 155,10 708,9 295,9 288,9 251,7 760,8 617,8 640,9 049,7 169,7 944,8 223,7 030,6 753,6 406,6 447,5 410,6 684,6 709,5 821,7 497,4 393,4 501,5 441,5 981,,107 124,  281 669 ,  139 657 ,109 446,82 093
,Валютные переводы ОТП,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,232,238,230,203,337,241,168,167,182,217,167,209,248,199,311,236,258,251,238,197,215,219,170,156,172,137,146,172,132,98,102,125,147,86,156,,0,0,  1 950 ,2 683,1 916
,"Доля, %",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"2,70%","1,77%","2,44%","2,11%","2,23%","3,30%","2,54%","1,51%","2,08%","2,24%","2,06%","1,64%","1,95%","2,67%","2,14%","3,36%","3,04%","2,99%","2,91%","2,63%","2,75%","2,71%","2,66%","2,42%","2,31%","2,68%","2,13%","2,70%","2,57%","1,97%","1,68%","1,36%","2,85%","3,27%","1,58%","2,61%",,0%,0%,"1,40%","2,45%","2,33%"
,Валютные переводы Райффайзен,42,67,40,50,43,77,37,70,65,86,102,60,59,188,831,1045,1002,2188,2169,1635,1230,1321,1171,1112,715,1055,2251,825,598,996,627,764,401,473,372,312,321,382,376,314,372,330,245,540,256,218,218,166,120,88,100,85,93,92,104,67,61,89,59,71,116,90,78,92,,739,13951,  9 389 ,3 738,1 029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Кредитная карта альфа,153927,171755,194419,169997,138851,143301,140198,164022,164722,214537,196789,205415,143042,216497,289703,280616,261003,256220,218953,222704,166758,140535,157916,153856,110218,143058,169526,151552,152510,127678,133296,152265,126992,133348,156136,159592,159823,156217,167567,156072,173262,169244,170553,157109,139421,133006,129394,130442,115999,109228,109715,98911,96203,95257,151594,115532,95552,101029,100197,96483,88898,74016,107773,119667,,2 057 933,  2 507 803 ,  1 716 171 ,1 842 110,1 285 700
,"Доля, %","9,076%","11,227%","10,643%","9,959%","8,184%","7,872%","7,240%","8,721%","9,019%","9,972%","9,361%","9,606%","8,360%","11,501%","13,354%","12,281%","11,895%","11,536%","10,693%","10,630%","10,045%","9,145%","9,426%","9,815%","8,562%","10,390%","10,817%","11,095%","11,570%","10,209%","10,489%","10,545%","9,916%","9,645%","10,674%","11,112%","11,347%","10,891%","11,599%","11,470%","12,092%","12,989%","12,716%","11,826%","11,718%","9,732%","8,801%","8,736%","8,598%","7,922%","7,312%","7,316%","7,330%","7,396%","10,747%","8,771%","7,936%","7,215%","7,679%","8,144%","8,184%","7,753%","9,091%","9,748%",,"9,223%","10,882%","10,437%","11,115%","8,034%"
,кредитная карта Т-Банк ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 244,141 586,135 686,129 706,99 839,107 137,109 056,117 998,104 369,104 733,99 530,89 401,90 665,96 277,106 691,97 173,80 547,88 415,82 395,69 191,64 356,57 687,72 094,67 180,,,,,,
,"Доля, %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,370%","10,867%","10,116%","9,763%","8,391%","7,839%","7,418%","7,903%","7,736%","7,596%","6,633%","6,612%","6,908%","7,475%","7,564%","7,377%","6,690%","6,314%","6,315%","5,840%","5,925%","6,042%","6,082%","5,472%",,,,,,
,кредитная карта Сбер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 940,26 215,27 336,26 602,27 181,29 680,33 020,35 178,31 259,31 883,32 801,32 635,29 936,29 321,31 007,29 741,30 723,33 631,35 474,34 505,30 861,29 852,37 854,39 681,,,,,,
,"Доля, %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,741%","2,012%","2,038%","2,002%","2,285%","2,172%","2,246%","2,356%","2,317%","2,312%","2,186%","2,414%","2,281%","2,277%","2,198%","2,258%","2,552%","2,402%","2,719%","2,912%","2,841%","3,127%","3,193%","3,232%",,,,,,
,ОТП Банк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279 193,297 814,309 029,302 565,316 030,402 370,411 006,425 858,397 747,392 539,418 603,392 939,372 438,380 592,419 747,386 137,410 247,477 383,411 442,411 363,359 586,368 479,420 883,446 240,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://wordstat.yandex.ru/?region=all&view=graph&words=%D1%80%D0%B0%D1%81%D1%87%D0%B5%D1%82%D0%BD%D1%8B%D0%B9%20%D1%81%D1%87%D0%B5%D1%82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
